KO,pathway,description,name
K15234,rTCA,ccl; citryl-CoA lyase [EC:4.1.3.34],Citryl-CoA lyase
K14468,3HP,mcr; malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298],Malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase
K15052,3HP,K15052; propionyl-CoA carboxylase [EC:6.4.1.3 2.1.3.15],Propionyl-CoA carboxylase
K14471,3HP,smtA1; succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22],Succinyl-CoA:(S)-malate CoA-transferase subunit A
K14472,3HP,smtB; succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22],Succinyl-CoA:(S)-malate CoA-transferase subunit B
K15022,WL,fdhB; formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10],Formate dehydrogenase (NADP+) beta subunit
K15038,DC/4HB,K15038; succinyl-CoA reductase [EC:1.2.1.76],Succinyl-CoA reductase
K15017,DC/4HB,K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76],Malonyl-CoA/succinyl-CoA reductase
K14465,DC/4HB,K14465; succinate semialdehyde reductase (NADPH) [EC:1.1.1.-],Succinate semialdehyde reductase
K14467,DC/4HB,4hbl; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40],4-Hydroxybutyrate-CoA ligase
K14534,DC/4HB,abfD; 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3],4-Hydroxybutyryl-CoA dehydratase
K28462,CBB,prkA_B; phosphoribulokinase [EC:2.7.1.19],Phosphoribulokinase
K28726,rTCA,porA; pyruvate synthase (flavodoxin) subunit A [EC:1.2.8.1],Pyruvate synthase subunit A
K28727,rTCA,porB; pyruvate synthase (flavodoxin) subunit B [EC:1.2.8.1],Pyruvate synthase subunit B
K28729,rTCA,porD; pyruvate synthase (flavodoxin) subunit D [EC:1.2.8.1],Pyruvate synthase subunit D
K28728,rTCA,porC; pyruvate synthase (flavodoxin) subunit C [EC:1.2.8.1],Pyruvate synthase subunit C
K18556,rTCA,frdA; NADH-dependent fumarate reductase subunit A [EC:1.3.1.6],NADH-dependent fumarate reductase subunit A
K18557,rTCA,frdB; NADH-dependent fumarate reductase subunit B [EC:1.3.1.6],NADH-dependent fumarate reductase subunit B
K18558,rTCA,frdC; NADH-dependent fumarate reductase subunit C,NADH-dependent fumarate reductase subunit C
K18559,rTCA,frdD; NADH-dependent fumarate reductase subunit D,NADH-dependent fumarate reductase subunit D
K18560,rTCA,frdE; NADH-dependent fumarate reductase subunit E,NADH-dependent fumarate reductase subunit E
K27802,rTCA,acnA; aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],Aconitate hydratase A
K15233,rTCA,ccsB; citryl-CoA synthetase small subunit,Citryl-CoA synthetase small subunit
K14469,3HP,K14469; acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36],Acrylyl-CoA reductase / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase
K05606,3HP,"MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]",Methylmalonyl-CoA epimerase
K14449,3HP,"mch, mcd; 2-methylfumaryl-CoA hydratase [EC:4.2.1.148]",2-Methylfumaryl-CoA hydratase
K14470,3HP,mct; 2-methylfumaryl-CoA isomerase [EC:5.4.1.3],2-Methylfumaryl-CoA isomerase
K28462,3HP/4HB,prkA_B; phosphoribulokinase [EC:2.7.1.19],Phosphoribulokinase
K22015,WL,fdhF; formate dehydrogenase (hydrogenase) / hydrogen-dependent carbon dioxide reductase [EC:1.17.98.4 1.17.98.5],Formate dehydrogenase / CO2 reductase
K25123,WL,hydA2; iron hydrogenase HydA2 [EC:1.12.7.-],Iron hydrogenase HydA2
K25124,WL,hycB; FeS-containing electron transfer protein,FeS electron transfer protein
K01491,WL,folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],Methylenetetrahydrofolate dehydrogenase / cyclohydrolase
K00297,WL,"metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]",Methylenetetrahydrofolate reductase
K25007,WL,metV; methylenetetrahydrofolate reductase (NADH) small subunit,Methylenetetrahydrofolate reductase small subunit
K25008,WL,rnfC2; ion-translocating oxidoreductase complex subunit C [EC:7.-.-.-],Ion-translocating oxidoreductase subunit C
K15023,WL,acsE; 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258],5-Methyltetrahydrofolate corrinoid methyltransferase
K14138,WL,acsB; acetyl-CoA synthase [EC:2.3.1.169],Acetyl-CoA synthase
K01595,DC/4HB,ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31],Phosphoenolpyruvate carboxylase
K18860,DC/4HB,"sdhD, frdD; succinate dehydrogenase subunit D",Succinate dehydrogenase subunit D
K18861,DC/4HB,K18861; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40],4-Hydroxybutyrate-CoA ligase (AMP-forming)
K25774,DC/4HB,4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40],4-Hydroxybutyrate-CoA ligase (AMP-forming)
K15016,DC/4HB,K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35],Enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase
K00626,DC/4HB,"ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",Acetyl-CoA acetyltransferase
K00192,WL,"cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]",CO dehydrogenase subunit alpha
K00193,WL,"cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]",CODH/ACS complex subunit beta
K00195,WL,"cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon",CODH/ACS complex subunit epsilon
K18005,H2,[NiFe] hydrogenase diaphorase moiety large subunit [EC:1.12.1.2],[NiFe] hydrogenase diaphorase large subunit
K17218,Sulfide,sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4],Sulfide:quinone oxidoreductase
K08352,Thiosulfate,"phsA, psrA; thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]",Thiosulfate reductase subunit A
K08353,Thiosulfate,phsB; thiosulfate reductase electron transport protein,Thiosulfate reductase electron transport protein
K21307,Sulfite,soeA; sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6],Sulfite dehydrogenase subunit A
K03520,CO metabolism,"coxL, cutL; aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]",CO dehydrogenase large subunit
K28504,ammonia oxidation,amoA; ammonia monooxygenase subunit A [EC:1.14.99.39],Ammonia monooxygenase subunit A
